DSM_Qvec	DSM_Int	DSM_Error
0.0001092325913378331	2655906543.030388	33475091.35417212
0.0001228439207195315	2177635538.334417	52165645.1757163
0.0001296863168383144	1903043889.952307	55373592.74807057
0.0001365499343818035	1691275869.972564	51802504.04024188
0.0001434342973628762	1477032216.899479	47131556.61423925
0.0001503389695770782	1335282439.781242	41981674.86359388
0.000157263549233775	1187305674.076694	37184444.1581707
0.000164207664555029	1061403578.052037	34338889.16809893
0.0001711709701353266	935760011.2817858	32707678.87208258
0.0001781531438978456	836987601.9383388	30192632.31406945
0.0001886633969105401	718540415.5695448	26827903.61223172
0.0001992099521712013	611196751.8281757	24126742.54760856
0.0002062647622408751	549350347.8615376	22193814.56725904
0.0002133371022797989	494756475.7016868	20313781.74357018
0.0002239801161182806	415832954.9377073	18434154.27420168
0.000234657110845059	352256302.1832147	16617176.80505797
0.0002453758493615841	305074151.9463938	14949754.3652084
0.0002561274343997695	256719170.8823246	13678296.16042963
0.000263316769408786	235266354.8222563	12679849.51092629
0.0002741327046404486	201303862.2633423	11502242.18483629
0.0002849801914311765	176022891.1521931	9613662.218108956
0.0003104781305635924	136616050.851591	6927149.931994073
0.0003360666957987573	97792729.72051841	4342503.559141111
0.0003434244629597715	91457272.17456312	2826696.456802659
0.0003507968132752991	86140206.00137319	2358263.493934302
0.0003581836422289763	77955414.43731044	2300671.801109573
0.0003655848485039059	74600805.98487365	2156468.674313533
0.0003730003338203256	67559756.19825132	1820457.856549927
0.0003804300027861427	63101681.82192292	1436924.151397297
0.0003916026432381884	58117037.03316108	1147258.509541047
0.0004065459495011618	50543548.56952352	966278.3685496222
0.0004215444055396786	44769203.24867632	833917.2301813742
0.0004365973654990599	39670543.86269436	723975.9882907099
0.0004517042162087149	35474431.08975168	645447.7555660781
0.000466864374518338	31634664.98248155	583828.1513674615
0.0004820772849264363	28892507.26565849	519987.7244814896
0.000497342417468028	25947833.93727088	461198.6325799988
0.0005126592658214241	23527606.37469278	414404.874035079
0.0005280273456076958	21499768.31526508	371764.3293288401
0.0005434461928572616	19716560.47984224	330383.4893525534
0.0005589153626228008	18295287.35841699	301391.5315791452
0.0005744344277234881	16885707.1213165	292106.9259702486
0.0005939053521250263	14955035.54101293	286857.8525224318
0.0006134477263751753	13658640.80323784	266061.9609454414
0.0006291382919126604	12549477.26686924	233338.6582537682
0.0006488216751061108	11489389.40995489	202199.4984505163
0.0006685746684636444	10475430.12700685	176522.4457781663
0.0006884065265574283	9658117.04630764	157650.8369714952
0.000712298522350341	8651528.502470737	151524.3575897989
0.0007322860244367691	7883838.518247976	159789.4113755768
0.0007523503642116289	7260983.377935104	174815.0189079065
0.0007765190096985167	6756928.224231608	182648.9091345776
0.0007967351866993214	6047800.098023858	170030.5029656262
0.0008170264109270854	5760390.793071839	141283.0969693731
0.0008414652544197139	5396638.554357607	115392.0957585606
0.000866003906089562	4920336.611274212	98882.43012601542
